Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.160.65-192.168.88.131-443-60442-6,192.168.88.131,60442,172.217.160.65,443,6,03/10/2019 05:09:44 AM,1779,2,2,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,0.0,23.0,32.526911934581186,43282.74311410905,2248.4541877459246,593.0,492.9868152395153,1103.0,119.0,557.0,557.0,0.0,557.0,557.0,1103.0,1103.0,0.0,1103.0,1103.0,0,1,0,0,40,40,1124.2270938729623,1124.2270938729623,0.0,46.0,24.6,23.276597689524987,541.8,0,0,0,1,1,0,0,0,1.0,30.75,15.5,23.0,0,0,0,0,0,0,2,31,2,46,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
172.217.160.65-192.168.88.131-443-60442-6,172.217.160.65,443,192.168.88.131,60442,6,03/10/2019 05:09:44 AM,19189,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.33956954505183,9594.5,12735.700235950908,18600.0,589.0,18600.0,18600.0,0.0,18600.0,18600.0,0,0,0,0,0,0,0,0,0,40,20,104.22637969670123,52.113189848350615,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-34.95.124.132-42460-443-6,192.168.88.131,42460,34.95.124.132,443,6,03/10/2019 05:09:47 AM,868,2,2,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,0.0,23.0,32.526911934581186,88709.67741935485,4608.294930875576,289.3333333333333,49.74267115197306,321.0,232.0,232.0,232.0,0.0,232.0,232.0,321.0,321.0,0.0,321.0,321.0,0,1,0,0,40,40,2304.147465437788,2304.147465437788,0.0,46.0,24.6,23.276597689524987,541.8,0,0,0,1,1,0,0,0,1.0,30.75,15.5,23.0,0,0,0,0,0,0,2,31,2,46,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
172.104.120.80-192.168.88.131-443-53574-6,192.168.88.131,53574,172.104.120.80,443,6,03/10/2019 05:09:47 AM,2900,2,2,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,0.0,23.0,32.526911934581186,26551.724137931036,1379.3103448275863,966.6666666666667,962.5291337582116,2060.0,247.0,247.0,247.0,0.0,247.0,247.0,593.0,593.0,0.0,593.0,593.0,0,1,0,0,40,40,689.6551724137931,689.6551724137931,0.0,46.0,24.6,23.276597689524987,541.8,0,0,0,1,1,0,0,0,1.0,30.75,15.5,23.0,0,0,0,0,0,0,2,31,2,46,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-31.13.87.8-35694-443-6,192.168.88.131,35694,31.13.87.8,443,6,03/10/2019 05:09:47 AM,4468,2,2,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,0.0,23.0,32.526911934581186,17233.661593554163,895.2551477170995,1489.3333333333335,1534.96981512124,3206.0,249.0,249.0,249.0,0.0,249.0,249.0,1013.0,1013.0,0.0,1013.0,1013.0,0,1,0,0,40,40,447.62757385854974,447.62757385854974,0.0,46.0,24.6,23.276597689524987,541.8,0,0,0,1,1,0,0,0,1.0,30.75,15.5,23.0,0,0,0,0,0,0,2,31,2,46,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-31.13.87.8-35694-443-6,31.13.87.8,443,192.168.88.131,35694,6,03/10/2019 05:09:47 AM,12014,3,2,77.0,0.0,46.0,0.0,25.666666666666668,23.459184413217212,0.0,0.0,0.0,0.0,6409.189279174297,416.18112202430495,3003.5,5202.292219140841,10803.0,226.0,11788.0,5894.0,6942.3743776895235,10803.0,985.0,11653.0,11653.0,0.0,11653.0,11653.0,0,0,0,0,60,40,249.70867321458297,166.47244880972198,0.0,46.0,12.833333333333332,20.43934115050352,417.7666666666666,0,0,0,0,1,0,0,0,0.0,15.4,25.666666666666668,0.0,0,0,0,0,0,0,3,77,2,0,-1,0,2,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-34.95.124.132-42460-443-6,34.95.124.132,443,192.168.88.131,42460,6,03/10/2019 05:09:47 AM,19776,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.69902912621362,9888.0,13638.675595526129,19532.0,244.0,19532.0,19532.0,0.0,19532.0,19532.0,0,0,0,0,0,0,0,0,0,40,20,101.1326860841424,50.5663430420712,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.104.120.80-192.168.88.131-443-53574-6,172.104.120.80,443,192.168.88.131,53574,6,03/10/2019 05:09:47 AM,54337,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.21099803080774,27168.5,38201.44385360323,54181.0,156.0,54181.0,54181.0,0.0,54181.0,54181.0,0,0,0,0,0,0,0,0,0,40,20,36.80733202053849,18.403666010269244,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-52.26.188.145-58578-443-6,192.168.88.131,58578,52.26.188.145,443,6,03/10/2019 05:09:43 AM,390,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5128.205128205128,390.0,0.0,390.0,390.0,0,0,0,0,0,390.0,390.0,0.0,390.0,390.0,0,0,0,0,0,40,0.0,5128.205128205128,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
