Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.88.131-216.58.200.226-50918-443-6,192.168.88.131,50918,216.58.200.226,443,6,03/10/2019 05:05:10 AM,38911,0,5,0.0,1292.0,0,0,0,0,1050.0,0.0,258.4,444.6265849001834,33203.97830947547,128.4983680707255,9727.75,18260.392718942276,37093.0,21.0,0,0,0,0,0,38911.0,9727.75,18260.392718942276,37093.0,21.0,0,1,0,0,0,100,0.0,128.4983680707255,0.0,1050.0,390.3333333333333,512.4379637250413,262592.6666666667,0,0,0,1,1,0,0,0,0.0,468.4,0.0,258.4,0,0,0,0,0,0,0,0,5,1292,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.217.160.66-192.168.88.131-443-57962-6,192.168.88.131,57962,172.217.160.66,443,6,03/10/2019 05:05:10 AM,1362,0,3,0.0,2055.0,0,0,0,0,2055.0,0.0,685.0,1186.454803184681,1508810.5726872247,2202.6431718061676,681.0,862.670273047588,1291.0,71.0,0,0,0,0,0,1362.0,681.0,862.670273047588,1291.0,71.0,0,1,0,0,0,60,0.0,2202.6431718061676,0.0,2055.0,1027.5,1186.454803184681,1407675.0,0,0,0,1,1,0,0,0,0.0,1370.0,0.0,685.0,0,0,0,0,0,0,0,0,3,2055,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-52.221.127.148-38492-443-6,192.168.88.131,38492,52.221.127.148,443,6,03/10/2019 05:05:10 AM,854,1,4,961.0,2920.0,961.0,961.0,961.0,0.0,2920.0,0.0,730.0,1460.0,4544496.487119438,5854.80093676815,213.5,157.99683541134613,383.0,47.0,0,0,0,0,0,854.0,284.6666666666667,226.90159394180847,499.0,47.0,0,0,0,0,20,80,1170.9601873536299,4683.840749414519,0.0,2920.0,1133.5,1432.9959874333215,2053477.5,0,0,0,0,1,0,0,0,4.0,1360.2,961.0,730.0,0,0,0,0,0,0,1,961,4,2920,-1,64240,1,0,0,0,0,0,0,0,0,0,No Label
