Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.217.160.102-192.168.88.131-443-59270-6,192.168.88.131,59270,172.217.160.102,443,6,03/10/2019 05:06:46 AM,66710,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,1379.1035826712637,59.9610253335332,22236.666666666664,22335.500360039696,44888.0,231.0,0,0,0,0,0,21822.0,10911.0,15103.800846144655,21591.0,231.0,0,1,0,0,20,60,14.9902563333833,44.9707690001499,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-117.18.237.29-33460-80-6,192.168.88.131,33460,117.18.237.29,80,6,03/10/2019 05:06:45 AM,464,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,4310.3448275862065,464.0,0.0,464.0,464.0,0,0,0,0,0,464.0,464.0,0.0,464.0,464.0,0,0,0,0,0,40,0.0,4310.3448275862065,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-216.58.200.226-50890-443-6,192.168.88.131,50890,216.58.200.226,443,6,03/10/2019 05:06:45 AM,54966,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,1673.7619619401084,72.77225921478733,18322.0,19713.125652721843,39591.0,664.0,0,0,0,0,0,15375.0,7687.5,9932.728955327433,14711.0,664.0,0,1,0,0,20,60,18.19306480369683,54.57919441109049,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.217.160.66-192.168.88.131-443-57962-6,192.168.88.131,57962,172.217.160.66,443,6,03/10/2019 05:06:46 AM,67321,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,1366.586949094636,59.416823873679824,22440.333333333336,21959.002739954594,44393.0,475.0,0,0,0,0,0,22928.0,11464.0,15540.79283691794,22453.0,475.0,0,1,0,0,20,60,14.854205968419956,44.56261790525987,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-192.168.88.2-49262-53-17,192.168.88.131,49262,192.168.88.2,53,17,03/10/2019 05:06:46 AM,35281,1,3,40.0,274.0,40.0,40.0,40.0,0.0,130.0,40.0,91.33333333333333,46.317743180484655,8899.974490518976,113.37547121680224,11760.333333333332,19887.119206494775,34724.0,274.0,0,0,0,0,0,35281.0,17640.5,24559.939830952357,35007.0,274.0,0,0,0,0,8,24,28.34386780420056,85.03160341260168,40.0,130.0,70.8,43.16480047446067,1863.2,0,0,0,0,0,0,0,0,3.0,88.5,40.0,91.33333333333333,0,0,0,0,0,0,1,40,3,274,-1,-1,1,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-104.18.20.226-33988-80-6,192.168.88.131,33988,104.18.20.226,80,6,03/10/2019 05:06:46 AM,527,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,3795.066413662239,527.0,0.0,527.0,527.0,0,0,0,0,0,527.0,527.0,0.0,527.0,527.0,0,0,0,0,0,40,0.0,3795.066413662239,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-216.58.200.36-40518-443-6,192.168.88.131,40518,216.58.200.36,443,6,03/10/2019 05:06:46 AM,632312,10,12,539.0,562.0,348.0,0.0,53.89999999999999,108.8020118278048,213.0,0.0,46.833333333333336,64.88988341565248,1741.2290135249687,34.79295031566695,30110.095238095226,88251.03098769144,399459.0,104.0,565453.0,62828.11111111111,130857.30230239774,399459.0,277.0,632312.0,57482.90909090909,132342.2271155012,445178.0,276.0,0,1,0,0,200,240,15.81497741621225,18.9779728994547,0.0,348.0,49.8695652173913,83.43386294644404,6961.209486166006,0,0,0,1,1,0,0,0,1.0,52.13636363636363,53.9,46.833333333333336,0,0,0,0,0,0,10,539,12,562,-1,64240,4,0,0,0,0,0,0,0,0,0,No Label
172.217.160.78-192.168.88.131-443-35020-6,192.168.88.131,35020,172.217.160.78,443,6,03/10/2019 05:06:46 AM,66656,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,1380.2208353336532,60.009601536245796,22218.666666666664,26170.96376393757,51331.0,643.0,0,0,0,0,0,15325.0,7662.5,9927.07210107794,14682.0,643.0,0,1,0,0,20,60,15.002400384061449,45.007201152184344,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-216.58.200.226-50892-443-6,192.168.88.131,50892,216.58.200.226,443,6,03/10/2019 05:06:45 AM,61267,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,1501.624039042225,65.28800169748804,20422.333333333336,19564.6463125029,39371.0,295.0,0,0,0,0,0,21896.0,10948.0,15065.61707996058,21601.0,295.0,0,1,0,0,20,60,16.32200042437201,48.966001273116035,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.217.24.14-192.168.88.131-443-58672-6,192.168.88.131,58672,172.217.24.14,443,6,03/10/2019 05:06:45 AM,61511,1,3,0.0,92.0,0.0,0.0,0.0,0.0,46.0,0.0,30.666666666666668,26.558112382722786,1495.667441595812,65.02901919981791,20503.666666666664,20140.144099120378,40472.0,196.0,0,0,0,0,0,21039.0,10519.5,14599.633711158647,20843.0,196.0,0,1,0,0,20,60,16.257254799954477,48.771764399863436,0.0,46.0,27.6,25.195237645237643,634.8000000000001,0,0,0,1,1,0,0,0,3.0,34.5,0.0,30.666666666666668,0,0,0,0,0,0,1,0,3,92,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
