Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.88.131-52.26.188.145-58578-443-6,52.26.188.145,443,192.168.88.131,58578,6,03/10/2019 05:10:08 AM,1166,1,2,0.0,31.0,0.0,0.0,0.0,0.0,31.0,0.0,15.5,21.920310216782973,26586.62092624357,2572.898799313894,583.0,152.73506473629428,691.0,475.0,0,0,0,0,0,691.0,691.0,0.0,691.0,691.0,0,1,0,0,20,40,857.6329331046313,1715.2658662092626,0.0,31.0,15.499999999999998,17.897858344878397,320.3333333333333,0,0,0,1,1,0,0,0,2.0,20.666666666666668,0.0,15.5,0,0,0,0,0,0,1,0,2,31,-1,0,0,0,0,0,0,0,0,0,0,0,No Label
172.217.24.3-192.168.88.131-80-33656-6,192.168.88.131,33656,172.217.24.3,80,6,03/10/2019 05:10:08 AM,1003028,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9909434233142047,501514.0,708509.6810404216,1002506.0,522.0,0,0,0,0,0,1003028.0,1003028.0,0.0,1003028.0,1003028.0,0,0,0,0,20,40,0.9969811411047348,1.9939622822094696,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.217.24.3-192.168.88.131-80-33654-6,192.168.88.131,33654,172.217.24.3,80,6,03/10/2019 05:10:08 AM,1003313,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9900938191770665,501656.5,708196.432736356,1002427.0,886.0,0,0,0,0,0,1003313.0,1003313.0,0.0,1003313.0,1003313.0,0,0,0,0,20,40,0.9966979397256889,1.9933958794513778,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
192.168.88.131-203.133.9.9-55832-80-6,192.168.88.131,55832,203.133.9.9,80,6,03/10/2019 05:10:10 AM,1008773,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.973909888547771,504386.5,705833.2818736306,1003486.0,5287.0,0,0,0,0,0,1008773.0,1008773.0,0.0,1008773.0,1008773.0,0,0,0,0,20,40,0.9913032961825902,1.9826065923651803,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
172.217.24.3-192.168.88.131-80-33652-6,192.168.88.131,33652,172.217.24.3,80,6,03/10/2019 05:10:08 AM,1005404,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9838751387501943,502702.0,708854.7491496407,1003938.0,1466.0,0,0,0,0,0,1005404.0,1005404.0,0.0,1005404.0,1005404.0,0,0,0,0,20,40,0.9946250462500646,1.9892500925001293,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,2,0,-1,64240,0,0,0,0,0,0,0,0,0,0,No Label
